"sku_id","product_name","description","brand","category","sub_category","price","image_url","stock_quantity"
148,Chicken Classic,High-quality chicken from meat section.,SO Organic,Meat,Chicken,8.06,"",306
149,Cake Premium,High-quality cake from bakery section.,Be Good to Yourself,Bakery,Cake,3.08,"",481
150,Nuts Premium,High-quality nuts from snacks section.,Taste the Difference,Snacks,Nuts,2.26,"",494
151,Biscuits Classic,High-quality biscuits from snacks section.,Be Good to Yourself,Snacks,Biscuits,12.42,"",409
152,Biscuits Classic,High-quality biscuits from snacks section.,SO Organic,Snacks,Biscuits,3.5,"",431
153,Cake Fresh,High-quality cake from bakery section.,Basics,Bakery,Cake,1.9,"",413
154,Beef Premium,High-quality beef from meat section.,SO Organic,Meat,Beef,5.92,"",380
155,Potatoes Organic,High-quality potatoes from produce section.,Be Good to Yourself,Produce,Potatoes,6.92,"",433
156,Apples Fresh,High-quality apples from produce section.,Be Good to Yourself,Produce,Apples,11.34,"",203
157,Chips Classic,High-quality chips from snacks section.,Be Good to Yourself,Snacks,Chips,9.88,"",196
158,Milk Fresh,High-quality milk from dairy section.,Basics,Dairy,Milk,11.09,"",242
159,Chips Fresh,High-quality chips from snacks section.,Sainsbury's,Snacks,Chips,2.21,"",386
160,Cake Fresh,High-quality cake from bakery section.,Basics,Bakery,Cake,13.48,"",291
161,Bagel Fresh,High-quality bagel from bakery section.,Taste the Difference,Bakery,Bagel,1.65,"",499
162,Beef Fresh,High-quality beef from meat section.,Taste the Difference,Meat,Beef,4.33,"",332
163,Ice Cream Classic,High-quality ice cream from frozen section.,SO Organic,Frozen,Ice Cream,14.0,"",53
164,Pizza Fresh,High-quality pizza from frozen section.,Sainsbury's,Frozen,Pizza,14.73,"",225
165,Turkey Fresh,High-quality turkey from meat section.,Basics,Meat,Turkey,10.64,"",380
166,Carrots Fresh,High-quality carrots from produce section.,Taste the Difference,Produce,Carrots,1.9,"",163
167,Apples Organic,High-quality apples from produce section.,Sainsbury's,Produce,Apples,7.29,"",183
168,Apples Fresh,High-quality apples from produce section.,Be Good to Yourself,Produce,Apples,3.11,"",174
169,Pork Premium,High-quality pork from meat section.,Be Good to Yourself,Meat,Pork,4.04,"",24
170,Croissant Premium,High-quality croissant from bakery section.,Basics,Bakery,Croissant,14.0,"",144
171,Croissant Organic,High-quality croissant from bakery section.,SO Organic,Bakery,Croissant,4.51,"",217
172,Coffee Classic,High-quality coffee from beverages section.,Be Good to Yourself,Beverages,Coffee,12.07,"",150
173,Nuts Classic,High-quality nuts from snacks section.,Basics,Snacks,Nuts,2.35,"",256
174,Carrots Premium,High-quality carrots from produce section.,Taste the Difference,Produce,Carrots,3.86,"",194
175,Apples Classic,High-quality apples from produce section.,Taste the Difference,Produce,Apples,8.84,"",413
176,Biscuits Premium,High-quality biscuits from snacks section.,Be Good to Yourself,Snacks,Biscuits,9.6,"",315
177,Croissant Organic,High-quality croissant from bakery section.,Taste the Difference,Bakery,Croissant,8.37,"",420
178,Beef Organic,High-quality beef from meat section.,Basics,Meat,Beef,14.82,"",42
179,Chips Premium,High-quality chips from snacks section.,Basics,Snacks,Chips,0.94,"",70
180,Beef Fresh,High-quality beef from meat section.,Basics,Meat,Beef,12.78,"",173
181,Cake Classic,High-quality cake from bakery section.,Be Good to Yourself,Bakery,Cake,6.63,"",404
182,Butter Classic,High-quality butter from dairy section.,SO Organic,Dairy,Butter,11.09,"",366
183,Fish Fresh,High-quality fish from frozen section.,Basics,Frozen,Fish,2.74,"",84
184,Soda Organic,High-quality soda from beverages section.,Taste the Difference,Beverages,Soda,3.58,"",118
185,Cheese Classic,High-quality cheese from dairy section.,SO Organic,Dairy,Cheese,7.89,"",292
186,Apples Premium,High-quality apples from produce section.,Sainsbury's,Produce,Apples,0.79,"",119
187,Bread Classic,High-quality bread from bakery section.,Basics,Bakery,Bread,9.72,"",287
188,Chicken Organic,High-quality chicken from meat section.,Taste the Difference,Meat,Chicken,8.35,"",109
189,Coffee Classic,High-quality coffee from beverages section.,Sainsbury's,Beverages,Coffee,10.13,"",341
190,Biscuits Premium,High-quality biscuits from snacks section.,SO Organic,Snacks,Biscuits,9.17,"",157
191,Yogurt Premium,High-quality yogurt from dairy section.,Basics,Dairy,Yogurt,13.6,"",447
192,Butter Premium,High-quality butter from dairy section.,SO Organic,Dairy,Butter,3.17,"",279
193,Vegetables Classic,High-quality vegetables from frozen section.,SO Organic,Frozen,Vegetables,0.66,"",342
194,Apples Organic,High-quality apples from produce section.,Be Good to Yourself,Produce,Apples,11.94,"",202
195,Turkey Organic,High-quality turkey from meat section.,Be Good to Yourself,Meat,Turkey,7.74,"",416
196,Beef Fresh,High-quality beef from meat section.,SO Organic,Meat,Beef,8.3,"",205
197,Chocolate Organic,High-quality chocolate from snacks section.,Be Good to Yourself,Snacks,Chocolate,0.78,"",415
198,Yogurt Organic,High-quality yogurt from dairy section.,Basics,Dairy,Yogurt,14.69,"",171
199,Cheese Premium,High-quality cheese from dairy section.,Taste the Difference,Dairy,Cheese,2.04,"",201
200,Carrots Organic,High-quality carrots from produce section.,Taste the Difference,Produce,Carrots,3.1,"",384
